Product Name,Price,Original Prices,Discount rates,brand
Parle G Gold Biscuits,114,115,Nan,Parle
Parle Namkeen Hot n Spicy Mixture,82,84,2% off,Parle
Apis Royal Zahidi Premium Dates,158,175,9% off,Apis
Pintola Classic Peanut Butter (Crunchy) 1 kg,319,349,8% off,Pintola
Fortune Rice Bran Oil Pouch,129,130,Nan,Fortune
Rajdhani Mota Poha,55,60,8% off,Rajdhani
FARMUP Yellow Combo (Split),540,700,22% off,FARMUP
Balance Natural Diabetic & Keto friendly Sugar Free Swe...,149,200,25% off,Balance
Everest Garam Masala,77,78,1% off,Everest
Nescafe Gold Instant Coffee,265,290,8% off,Nescafe
India Gate Gate Regular Choice Basmati Rice (Medium Grain),357,445,19% off,India Gate
MTR Gulab Jamun Mix 160 g,119,120,Nan,MTR
Everest Coriander,55,56,1% off,Everest
Wnature Organic Roasted Arabica Coffee beans 1kg-100% P...,650,700,7% off,Wnature
Flipkart Supermart Select Sugar,59,90,34% off,Flipkart
Pillsbury Chakki Fresh Atta,370,NaN,Nan,Pillsbury
Fortune Everyday Basmati Rice (Long Grain),90,149,39% off,Fortune
Balance Gourment Dalchini Cinnamon Flavored Green Coffe...,649,"1,000",35% off,Balance
"Red Label Natural Care Cardamom, Ginger, Liquorice, Tul...",24 PREMIUM0,NaN,Nan,Red
Eastern Chicken Masala,45,50,10% off,Eastern
Rajdhani White Lobia (Whole),70,71,1% off,Rajdhani
Kellogg's Fruit and Nut Muesli,290,315,7% off,Kellogg's
Dukes Eclairs Chocolate Candy,77,100,23% off,Dukes
Colavita (Hard Durum Wheat) Farfalle Pasta,285,290,1% off,Colavita
BRU Instant Coffee,NaN,NaN,Nan,BRU
FARMUP Millet Flour 500 g,181,399,54% off,FARMUP
Happilo Premium Turkish Apricots,427,570,25% off,Happilo
Tang Orange Instant Drink Mix,182,210,13% off,Tang
Leonardo Pomace Olive Oil Plastic Bottle,500,949,47% off,Leonardo
FARMUP Yellow Combo (Split),559,700,20% off,FARMUP
Nestle Lactogen Follow-up-Formula (Stage 2),315,NaN,Nan,Nestle
Tate & Lyle 5 010115 902941 aroma,355,NaN,Nan,Tate
Nestle Cerelac 5 Grains & Fruits Cereal,267,NaN,Nan,Nestle
Tang Mango Instant Drink Mix,199,210,5% off,Tang
Complan Royale Chocolate,338,385,12% off,Complan
Nestle Cerelac Wheat Apple Cherry Cereal,220,NaN,Nan,Nestle
Sugar Free Natura 300 Pellets Sweetener,186,190,2% off,Sugar
"Tang Orange Instant Drink Mix, 500g(Each)",264,270,2% off,Tang
Disano Extra Light Olive Oil Plastic Bottle,999,"2,395",58% off,Disano
"CCDS Bakers Instant Yeast For Baking, Proofing, Making ...",239,24 PREMIUM9,4% off,CCDS
"Organic Forest Pink Rock Salt Granules, 500gm Himalayan...",208,24 PREMIUM5,15% off,Organic
Figaro Extra Virgin Olive Oil Plastic Bottle,699,"1,099",36% off,Figaro
Happilo 100% Natural Premium Whole Nuts Cashews,439,499,12% off,Happilo
Pintola Classic Peanut Butter (Crunchy) 1 kg,319,349,8% off,Pintola
Nestle Lactogen Infant Formula (Stage 1),330,NaN,Nan,Nestle
Nature Valley Oats and Dark Chocolate Crunchy Granola B...,310,330,6% off,Nature
Nescafe Greetings - The Ultimate Instant Coffee Kit 100...,601,699,14% off,Nescafe
NutrineLife With the Mother Vinegar,499,899,44% off,NutrineLife
Oleev Imported Pomace Olive Oil Plastic Bottle,545,749,27% off,Oleev
Kitchens of India Gate Badam and Moong Dal Halwa 450 g,342,360,5% off,Kitchens
FARMUP Yellow Combo (Split),558,700,20% off,FARMUP
Pintola All Natural Export Peanut Butter (Creamy) 1 kg,387,425,8% off,Pintola
FARMUP Combo,560,700,20% off,FARMUP
Balance Natural Diabetic & Keto friendly Sugar Free Swe...,149,200,25% off,Balance
Horlicks Chocolate Delight Flavour Mix,97,105,7% off,Horlicks
FARMUP Yellow Combo (Split),620,700,11% off,FARMUP
Nestle Nan Pro Infant Formula (Stage 1),595,NaN,Nan,Nestle
Wnature Organic Roasted Arabica Coffee beans 1kg-100% P...,650,700,7% off,Wnature
Nestle Cerelac Wheat Apple Cereal,190,NaN,Nan,Nestle
"organic forest Pink Rock Salt Powder, 500gm Rock Salt",208,24 PREMIUM5,15% off,organic
Markstor Saudi Medjoul Dates Dates,"1,050","1,250",16% off,Markstor
Nestle Cerelac Multi Grain Dal Veg Cereal,257,NaN,Nan,Nestle
Akiva Superfoods Organic Jaggery Powder - 900gm Jaggery,265,295,10% off,Akiva
Balance Gourment Dalchini Cinnamon Flavored Green Coffe...,649,"1,000",35% off,Balance
Happilo Premium Dried Turkish Apricots,228,285,20% off,Happilo
FARMUP Besan 1 Kg,330,499,33% off,FARMUP
Leonardo Extra Virgin Olive Oil Plastic Bottle,"1,127","1,649",31% off,Leonardo
Tang Orange Instant Drink Mix,182,210,13% off,Tang
FARMUP Jowar Flour 5 kG,900,"1,299",30% off,FARMUP
"Lipton Honey, Lemon Green Tea Bags Box",135,145,6% off,Lipton
FARMUP Yellow Combo (Split),560,700,20% off,FARMUP
FARMUP Yellow Combo (Split),520,700,25% off,FARMUP
Ghasitaram Gifts Raisins-Selected India Gaten Raisins 800 gm...,499,650,23% off,Ghasitaram
Tang Mango Instant Drink Mix,199,210,5% off,Tang
"Tang ZERO SUGAR, sugar drink mix,Imported 6 packets, or...",799,999,20% off,Tang
"TGL Co. Ice Wine White Tea with White Downy White Tea, ...","1,078","1,198",10% off,TGL
TGL Co. Strawberry and Aloe White Tea with White Shou M...,"1,078","1,198",10% off,TGL
"Tang Orange Instant Drink Mix, 500g(Each)",264,270,2% off,Tang
TGL Co. Gunpowder Temple of Heaven Green Tea with The F...,"1,078","1,198",10% off,TGL
TGL Co. White Bud Yin Zhen White Tea White Tea Pouch,"2,518","2,798",10% off,TGL
TGL Co. Pearl of The Caribbean White Tea with White Sho...,"1,078","1,198",10% off,TGL
TGL Co. China Jasmine Green Tea for Stress Relief and R...,"1,078","1,198",10% off,TGL
"TGL Co. Geisha Green Tea with Green Bancha Tea, Green K...","1,078","1,198",10% off,TGL
Balance Instant 60 Sachets Stevia & LemonGrass Green Co...,499,750,33% off,Balance
"TGL Co. Orange & Mango Oolong Tea, 16 Tea Bags with Sem...",314,349,10% off,TGL
"TGL Co. Little Buddha Green Tea with Sandalwood, Red Pe...","1,078","1,198",10% off,TGL
Ray Healthy Cooking Spray -Refined Rice Bran OIL - 200 ...,500,598,16% off,Ray
Pintola Classic Peanut Butter (Crunchy) 1 kg,319,349,8% off,Pintola
Onlyleaf Flavored Sampler Assorted Green Tea Bags Box,150,NaN,Nan,Onlyleaf
TRUE Elements Elements Roasted Sunflower Pumpkin And Flax Seeds ...,232,24 PREMIUM0,3% off,TRUE Elements
FARMUP Corn Flour : 1 KG + Jowar Flour : 1 KG,460,700,34% off,FARMUP
Saffola Total Pro Heart Conscious Blended Oil Can,175,NaN,Nan,Saffola
Lipton Pure & Light Green Tea Bags Box,145,NaN,Nan,Lipton
NutrineLife With the Mother Vinegar,499,899,44% off,NutrineLife
Nestle Cerelac Wheat Cereal,185,NaN,Nan,Nestle
Ghasitaram Gifts Mini Gujiya Namkeen 400 gms,345,451,23% off,Ghasitaram
Pintola All Natural Export Quality Peanut Butter (Crunc...,387,425,8% off,Pintola
Balance Natural Diabetic & Keto friendly Sugar Free Swe...,149,200,25% off,Balance
FARMUP Yellow Combo (Split),560,700,20% off,FARMUP
FARMUP Almond | Premium Quality | Tasty |100% Pure and ...,850,"1,100",22% off,FARMUP
Happilo Premium Dried Supermix Assorted Fruit,637,730,12% off,Happilo
FARMUP Rice Flour 500 g,210,399,47% off,FARMUP
Nescafe GOLD Blend Crafted With Arabica Ground 10 time ...,945,"1,299",27% off,Nescafe
Wnature Organic Roasted Arabica Coffee beans 1kg-100% P...,650,700,7% off,Wnature
Bertolli Extra Virgin Olive Oil Plastic Bottle,349,699,50% off,Bertolli
Betty Crocker Triple Choco Brownie Mix 425 g,330,NaN,Nan,Betty
Ghasitaram Gifts Dryfruits- Dryfruit Box 800 gms,"1,439","1,599",10% off,Ghasitaram
Tang Orange Instant Drink Mix,182,210,13% off,Tang
Soft Art Celebrations Dried Ginger Candy Vaccum Pack Dr...,293,638,54% off,Soft
"VegeBaby 100% Natural, Cold-Pressed,Extra virgin Coconu...",559,NaN,Nan,VegeBaby
Nescafe GOLD Origins Cap Colombia Instant Coffee,945,"1,299",27% off,Nescafe
Taj Mahal Tea Box,225,24 PREMIUM5,8% off,Taj
Markstor Fresh Rabia Dates of Saudi Arabia Dates,350,600,41% off,Markstor
Tang Mango Instant Drink Mix,199,210,5% off,Tang
Nescafe Gold Espresso Italian Style Rich With Crema 100...,945,"1,299",27% off,Nescafe
Delight Nuts Dried Apricots 200g Apricots,271,279,2% off,Delight
Onlyleaf 100% Natural Weightloss Cinnamon Clove Hibiscu...,261,275,5% off,Onlyleaf
"Tang Orange Instant Drink Mix, 500g(Each)",264,270,2% off,Tang
SUN'A'DO California Almonds - 200g Almonds,339,349,2% off,SUN'A'DO
Ghasitaram Gifts Mini Gujiya Namkeen 800 gms,625,651,3% off,Ghasitaram
VegeBaby First Cold Pressed Black Sesame Oil Plastic Bo...,699,NaN,Nan,VegeBaby
Delight Nuts Mixed Nut Roasted & Salted 200g Assorted N...,387,399,3% off,Delight
"Healthkart Organic Apple Cider Vinegar, Unflavoured Vin...",349,670,47% off,Healthkart
Pintola Classic Peanut Butter (Crunchy) 1 kg,319,349,8% off,Pintola
Kitchens of India Gate Chicken Chettinad 570 g,371,390,4% off,Kitchens
MTR Special Garam Masala,50,NaN,Nan,MTR
Chana Dal,105,130,19% off,Chana
Yogabar Wholegrain Breakfast Muesli+ - Dark Chocolate +...,260,299,13% off,Yogabar
India Gate Gate Mogra Basmati Rice (Broken Grain),328,380,13% off,India Gate
"Godhan anmall Gir cow's premium Ghee, 1 ltr 1 L Glass B...","1,685","2,500",32% off,Godhan
Happilo Premium International Omani Dates,140,175,20% off,Happilo
Parle Namkeen Aloo Bhujia,84,88,4% off,Parle
Saffola Tasty Pro Fitness Conscious Blended Oil Pouch,114,120,5% off,Saffola
Balance Natural Diabetic & Keto friendly Sugar Free Swe...,149,200,25% off,Balance
Emami Healthy and Tasty Refined Soyabean Oil Pouch,114,125,8% off,Emami
Ching's Secret Hot Garlic Instant Noodles Vegetarian,53,60,11% off,Ching's
Rajdhani Kabuli Chana (Whole),125,145,13% off,Rajdhani
Wnature Organic Roasted Arabica Coffee beans 1kg-100% P...,650,700,7% off,Wnature
Saffola Gold Blended Oil Pouch,576,636,9% off,Saffola
Saffola Active Blended Oil Pouch,520,580,10% off,Saffola
MTR Jeera Powder,54,55,1% off,MTR
Lipton Tulsi Natura Green Tea Bags Box,131,150,12% off,Lipton
Flipkart Supermart Select Unpolished Toor Dal (Split),136,170,20% off,Flipkart
Colavita (Hard Durum Wheat) Farfalle Pasta,285,290,1% off,Colavita
Flipkart Supermart Select Unpolished Chana Dal,105,140,25% off,Flipkart
Dexolac Infant Formula Powder (Stage 1),304,NaN,Nan,Dexolac
NAGO Natural Goodness Red Rajma (Whole),200,NaN,Nan,NAGO
Tang Orange Instant Drink Mix,182,210,13% off,Tang
Easum Rice and Moog Dal Baby Cereal,24 PREMIUM0,NaN,Nan,Easum
Emami Healthy & Tasty Refined Sunflower Oil Pouch,116,130,10% off,Emami
Ghasitaram Gifts Cashews Dryfruits-Goan Cashews 800 gms...,"1,075","1,350",20% off,Ghasitaram
SUN'A'DO Cashew Roasted & Salted - 200g Cashews,387,399,3% off,SUN'A'DO
"VegeBaby 100% Natural, Cold-Pressed, unrefined, Extra v...",500,NaN,Nan,VegeBaby
Tang Mango Instant Drink Mix,199,210,5% off,Tang
VegeBaby 100%Natural Cold Pressed Extra Virgin Yellow M...,509,NaN,Nan,VegeBaby
FARMUP SoyaFlour : 1 KG + Jowar Flour : 1 KG,520,700,25% off,FARMUP
Alpino Natural Smooth Peanut Butter (Unsweetened) 1 kg,359,425,15% off,Alpino
"Tang Orange Instant Drink Mix, 500g(Each)",264,270,2% off,Tang
Kitchens of India Gate Rajma Masala and Vegetable Pulao 785 ...,257,270,4% off,Kitchens
"VegeBaby Cold Pressed, 100% Organic Apricot Oil Plastic...",350,NaN,Nan,VegeBaby
Markstor Ajwa Al-Saudi Dates,"1,490","2,000",25% off,Markstor
Jaiccha Goan Cashews 200 gms in Black Paper Pouch Cashe...,351,451,22% off,Jaiccha
Neuherbs Raw Pumpkin Seeds - Protein and Fiber Rich Sup...,199,280,28% off,Neuherbs
Pintola Classic Peanut Butter (Crunchy) 1 kg,319,349,8% off,Pintola
Nestle Cerelac Wheat Honey Dates Cereal,24 PREMIUM2,NaN,Nan,Nestle
FARMUP Maida 1Kg | Pure and Natural | Premium Quality,270,499,45% off,FARMUP
MYFITNESS Smooth Peanut Butter 510 g,299,320,6% off,MYFITNESS
NutrineLife With the Mother Vinegar,499,899,44% off,NutrineLife
Wonderland Foods Premium Quality California Almonds,599,900,33% off,Wonderland
Kitchens of India Gate Mutter Paneer and Vegetable Pulao 785...,266,280,5% off,Kitchens
"VegeBaby Cold Pressed, 100% Virgin Organic Vegetable Oi...",475,NaN,Nan,VegeBaby
"Healthkart Apple Cider Vinegar with Mother, Unflavoured...",275,525,47% off,Healthkart
Kohinoor Charminar Rice (Long Grain),382,449,14% off,Kohinoor
Balance Natural Diabetic & Keto friendly Sugar Free Swe...,149,200,25% off,Balance
"Fortune Everyday Hamesha Basmati Rice (Broken Grain, St...",336,425,20% off,Fortune
VegeBaby 100%Natural Cold Pressed Extra Virgin Black Mu...,500,NaN,Nan,VegeBaby
Dhara Refined Sunflower Oil Pouch,116,125,7% off,Dhara
Wnature Organic Roasted Arabica Coffee beans 1kg-100% P...,650,700,7% off,Wnature
SUN'A'DO Afghani Seedless Green Raisins - 200g Raisins,290,299,3% off,SUN'A'DO
Urban Organic Unpolished White Urad Dal (Split),225,299,24 PREMIUM% off,Urban
"Jaiccha Almonds and Cashew Pouches-200 gms Almonds, Cas...",330,425,22% off,Jaiccha
"Midiron Pumpkin Seeds (250 gm), Rich in Zinc & Powerhou...",309,350,11% off,Midiron
Delight Nuts Cashew Roasted & Salted 200g Cashews,387,399,3% off,Delight
Yogabar Wholegrain Breakfast Muesli+ - Dark Chocolate +...,260,299,13% off,Yogabar
Disano Canola Oil Plastic Bottle,191,425,55% off,Disano
Wonderland Foods(Device) 100% Natural Premium Quality P...,"1,099","1,600",31% off,Wonderland
Happilo Premium International Trail Mix,292,365,20% off,Happilo
Tang Orange Instant Drink Mix,182,210,13% off,Tang
Bertolli Mild Taste Olive Oil Plastic Bottle,799,"1,225",34% off,Bertolli
Markstor Sukkary Dates - Wet and Fresh with Natural Swe...,575,650,11% off,Markstor
"SUN'A'DO Mixed Nuts (Almonds, Cashew & Pistachios) Roas...",387,399,3% off,SUN'A'DO
AS-IT-IS Nutrition Raw Apple Cider Vinegar with mother ...,263,356,26% off,AS-IT-IS
Pintola Classic Peanut Creamy Butter 2.5 kg,726,790,8% off,Pintola
Tang Mango Instant Drink Mix,199,210,5% off,Tang
Naturewell Red Rajma (Whole),209,299,30% off,Naturewell
Happilo Premium Roasted and Salted California Pistachio...,356,395,9% off,Happilo
Cadbury Shots Truffles,280,NaN,Nan,Cadbury
"Tang Orange Instant Drink Mix, 500g(Each)",264,270,2% off,Tang
"organic forest 5 In 1 Roasted Super Seeds Mix, 500gm Pr...",395,438,9% off,organic
Happilo Premium Roasted and Salted Cashew Nuts,316,395,20% off,Happilo
FARMUP Cashew Nut 250 gm + Almond 250 gm | Premium Qual...,850,"1,000",15% off,FARMUP
FARMUP Polished Yellow Moong Dal (Whole),340,499,31% off,FARMUP
SUN'A'DO California Almonds Roasted & Salted - 200g Alm...,364,375,2% off,SUN'A'DO
Pintola Classic Peanut Butter (Crunchy) 1 kg,319,349,8% off,Pintola
"Happilo Premium American Dried Whole Duet Blueberry, Cr...",328,380,13% off,Happilo
Rajdhani Unpolished Arhar Dal (Split),164,220,25% off,Rajdhani
Eat Soya SOYA NUTS SALTED AND ROASTED SOYABEAN SALTED,200,NaN,Nan,Eat Soya
Balance Natural Diabetic & Keto friendly Sugar Free Swe...,149,200,25% off,Balance
KLF Nirmal Cold Pressed Virgin Coconut Oil Glass Bottle,375,390,3% off,KLF Nirmal
MuscleBlaze High Protein Natural Peanut Butter 750 g,349,499,30% off,MuscleBlaze
Sonal Dry fruit Premium Cashews Cashews,299,360,16% off,Sonal
