Product Name,Price,Original Prices,Discount rates,brand,Column1
NapCloud ZipNap Plus 8 inch Queen Memory Foam Mattress,"14,624","19,499",25% off,,NapCloud
FurnCentral Metal Open Book Shelf,"1,899","3,199",40% off,,FurnCentral
Continental 6+2 Shelves 3 Door 88130 PP Collapsible War...,"1,549","2,499",38% off,,Continental
"CAPITAL Ultra Slim LCD LED TVs Wall Mount Stand 21"" to ...",299,399,25% off,,CAPITAL
NapCloud ZipNap 6 inch King Memory Foam Mattress,"14,999","19,999",25% off,,NapCloud
Flipkart Perfect Homes Studio Metal Open Book Shelf,"1,499","2,759",45% off,,Flipkart
Spacewood Original Engineered Wood Dressing Table,"9,790","16,293",39% off,,Spacewood
FurnCentral Canvas Swing,999,"1,399",28% off,,FurnCentral
urban choice 88130 Cotton Collapsible Wardrobe,"1,699","3,999",57% off,,urban
Luximal Cotton Home Swing for Baby Julla Cotton Swing,469,999,53% off,,Luximal
NapCloud ZipNap Plus 8 inch King Memory Foam Mattress,"16,499","21,999",25% off,,NapCloud
NAKODA Plastic Free Standing Chest of Drawers,"1,390","2,323",40% off,,NAKODA
Sauran LCD/LED/PLASMA TV Swivel Type Movable Wall mount...,435,"2,599",83% off,,Sauran
Sasimo 1-Door 4-Shelf Fabric Metal Collapsible Shoe Sta...,599,"3,999",85% off,,Sasimo
Flipkart Perfect Homes Rhea 4 inch Queen PU Foam Mattre...,"5,186","11,499",54% off,,Flipkart
CAPITAL 21 - 43 Fixed TV Mount Fixed TV Mount,229,999,77% off,,CAPITAL
Nilkamal Plastic Shoe Rack,"2,290","2,470",7% off,,Nilkamal
Continental 6+2 Shelves 3 door 88130 PP Collapsible War...,"1,549","2,499",38% off,,Continental
RoyalOak Opel Engineered Wood Bedside Table,"3,299","4,600",28% off,,RoyalOak
Smart Shelter Wood Portable Laptop Table,"1,199","1,650",27% off,,Smart
Flipkart Perfect Homes Rhea 4 inch Single PU Foam Mattr...,"3,334","6,699",50% off,,Flipkart
NAKODA Plastic Free Standing Chest of Drawers,"1,319","2,289",42% off,,NAKODA
Snazzy Prremium Quality Multi-Purpose Wood Portable Lap...,"1,599","2,199",27% off,,Snazzy
Sasimo 1-Door 6-Shelf Fabric Metal Collapsible Shoe Sta...,999,"2,599",61% off,,Sasimo
NapCloud SmartNap 4 inch King High Resilience (HR) Foam...,"9,749","12,999",25% off,,NapCloud
Joyful Plastic Free Standing Chest of Drawers,"1,349","2,190",38% off,,Joyful
RoyalOak Disney Engineered Wood Study Table,"4,490","5,385",16% off,,RoyalOak
MemeHO BL Wood Portable Laptop Table,999,"1,499",33% off,,MemeHO
Crystal Furnitech Sigma Engineered Wood Coffee Table,"3,690","4,719",21% off,,Crystal
DIAL FOR STYLE DREAM Airsofa PVC 3 Seater Inflatable So...,"2,799","6,999",60% off,,DIAL
NapCloud ZipNap 6 inch Double Memory Foam Mattress,"11,249","14,999",25% off,,NapCloud
Spacewood Winner Engineered Wood Study Table,"7,790","9,386",17% off,,Spacewood
Ebee Plastic Kitchen Trolley,749,"1,099",31% off,,Ebee
Nilkamal Zenith Engineered Wood Computer Desk,"5,990","6,100",1% off,,Nilkamal
NapCloud ZipNap 6 inch Single Memory Foam Mattress,"10,499","13,999",25% off,,NapCloud
Flipkart Perfect Homes Studio Metal Open Book Shelf,899,"1,049",14% off,,Flipkart
Gymfy Multipurpose Home Utility Collapsible Stand2 Meta...,599,"1,599",62% off,,Gymfy
Spacewood Winner Engineered Wood Study Table,"7,790","9,386",17% off,,Spacewood
GTC 6+2 Layer Fold able Wardrobe 88130M Carbon Steel Co...,"1,549","2,500",38% off,,GTC
Flipkart Perfect Homes Studio Metal Open Book Shelf,999,"1,049",4% off,,Flipkart
NapCloud ZipNap Plus 8 inch Queen Memory Foam Mattress,"14,624","19,499",25% off,,NapCloud
@home by Nilkamal Engineered Wood Shoe Rack,"3,990","7,500",46% off,,@home
FurnCentral Metal Kitchen Cabinet,590,999,40% off,,FurnCentral
Portronics Mybuddy L Por-833 Wood Portable Laptop Table,"1,799","2,999",40% off,,Portronics
