Product Name,Price,Original Prices,Discount rates,Ratings,Brand
"Vivo V19 (Piano Black, 128 GB)","27,990","30,990",9% off,4.6,Vivo
"OnePlus 7T (Glacier Blue, 128 GB)","36,733","37,599",2% off,4.6,OnePlus
"OnePlus 7T (Glacier Blue, 256 GB)","38,356","39,490",2% off,4.6,OnePlus
"Redmi Note 8 Pro (Halo White, 128 GB)","16,999","17,999",5% off,4.5,Redmi
"OPPO F11 Pro (Aurora Green, 64 GB)","16,890","28,990",41% off,4.4,OPPO
"OPPO F11 Pro (Thunder Black, 128 GB)","17,990","29,990",40% off,4.4,OPPO
Lava A1,799,"1,099",27% off,4.2,Lava
Lava A1,880,"1,119",21% off,4.1,Lava
Lava A1,880,"1,049",16% off,4.1,Lava
Lava A1,935,"1,149",18% off,4.2,Lava
"Apple iPhone SE (White, 128 GB)","47,800",NaN,Nan,4.7,Apple
Samsung Guru Music 2,"1,710","1,950",12% off,4.3,Samsung
"Vivo V19 (Mystic Silver, 128 GB)","27,990","30,990",9% off,4.6,Vivo
"Vivo Y12 (Aqua Blue, 64 GB)","10,990","13,990",21% off,4.4,Vivo
"OPPO F15 (Unicorn White, 128 GB)","21,990","22,990",4% off,4.4,OPPO
Micromax X380,740,"1,499",50% off,4,Micromax
Samsung Metro 313 Dual Sim,"2,130","2,340",8% off,4.2,Samsung
"Honor 9X (Midnight Black, 128 GB)","13,999","15,999",12% off,4.3,Honor
"Google Pixel 3a (Clearly White, 64 GB)","30,999","39,999",22% off,4.5,Google
"Google Pixel 3a (Just Black, 64 GB)","30,999","39,999",22% off,4.5,Google
"Mi A3 (More Than White, 64 GB)","12,999","14,999",13% off,4.3,Mi
Samsung Metro 313 Dual Sim,"2,130","2,340",8% off,4.2,Samsung
Hicell C9 Metro,599,NaN,Nan,3.6,Hicell
Nokia 110,"1,799","2,099",14% off,4.1,Nokia
Detel D1 Champ,590,NaN,Nan,3.7,Detel
Samsung Guru 1200,"1,405",NaN,Nan,4.3,Samsung
Lava One,"1,159","1,349",14% off,4.1,Lava
Lava One,"1,159","1,349",14% off,4.1,Lava
