Product Name,Price,Original Prices,Discount rates,Ratings,Brand
"Honor 20 (Sapphire Blue, 128 GB)","21,999","35,999",38% off,4.4,Honor
"Gionee F10 (Blue, 32 GB)","6,999","7,990",12% off,4.2,Gionee
Jmax M43,499,"1,099",54% off,3.7,Jmax
Jmax M43,499,"1,099",54% off,3.7,Jmax
Blackbear B5 Bucket,699,NaN,Nan,3.7,Blackbear
Kechaoda A26,970,NaN,Nan,4.1,Kechaoda
Kechaoda A26,822,"1,499",45% off,4.1,Kechaoda
"Gionee F9 (Black, 32 GB)","5,499","7,900",30% off,4.1,Gionee
Kechaoda A27,970,NaN,Nan,4.1,Kechaoda
"Redmi K20 Pro (Flame Red, 256 GB)","29,999","31,999",6% off,4.5,Redmi
"Gionee F205 (Black and Gold, 16 GB)","3,999","8,479",52% off,4,Gionee
I Kall K112 Pack of two Mobile,"1,299","2,598",50% off,4.4,I
"Redmi K20 Pro (Carbon Black, 128 GB)","26,999","28,999",6% off,4.5,Redmi
Detel D1 Champ,590,NaN,Nan,3.7,Detel
Karbonn K24 Plus Pro,"1,069",NaN,Nan,3.8,Karbonn
"Nokia 4.2 (Black, 32 GB)","10,099","13,699",26% off,4.1,Nokia
"Redmi Note 8 Pro (Gamma Green, 128 GB)","18,999","19,999",5% off,4.5,Redmi
Karbonn KX24,"1,199",NaN,Nan,3.9,Karbonn
"Realme C2 (Diamond Blue, 16 GB)","6,499","6,999",7% off,4.4,Realme
"Apple iPhone 11 (Green, 128 GB)","73,600",NaN,Nan,4.7,Apple
"Apple iPhone XR (Blue, 64 GB)","52,500",NaN,Nan,4.6,Apple
Micromax X516,"1,050",NaN,Nan,4,Micromax
"Realme C1 (Mirror Black, 32 GB)","8,499","9,999",15% off,4.4,Realme
Karbonn KX1,799,NaN,Nan,3.9,Karbonn
Karbonn KX1,799,NaN,Nan,3.9,Karbonn
Karbonn KX1,799,NaN,Nan,3.9,Karbonn
"Realme 3 (Diamond Red, 64 GB)","9,499","12,999",26% off,4.4,Realme
"Realme 3 (Radiant Blue, 32 GB)","8,499","10,999",22% off,4.4,Realme
"Realme 3 (Radiant Blue, 64 GB)","9,499","11,999",20% off,4.4,Realme
"Realme 3 (Dynamic Black, 64 GB)","10,499","12,999",19% off,4.4,Realme
"Realme 3 (Dynamic Black, 64 GB)","9,499","11,999",20% off,4.4,Realme
"Realme 3 (Dynamic Black, 32 GB)","8,499","10,999",22% off,4.4,Realme
"Asus Zenfone Max Pro M1 (Blue, 64 GB)","8,499","15,599",45% off,4.3,Asus
Itel it5607,983,"1,249",21% off,4.1,Itel
Micromax X741,"1,365",NaN,Nan,4,Micromax
"Redmi K20 Pro (Pearl White, 128 GB)","26,999","28,999",6% off,4.5,Redmi
Jmax M40,499,"1,099",54% off,3.7,Jmax
Jmax M40,499,"1,099",54% off,3.7,Jmax
Jmax M40,499,"1,099",54% off,3.7,Jmax
Detel D1 Champ,590,NaN,Nan,3.7,Detel
Karbonn K885 Metal,"1,299",NaN,Nan,3.8,Karbonn
"Yu Ace (Charcoal Grey, 16 GB)","4,999","7,999",37% off,4.1,Yu
"Gionee F10 (Black, 32 GB)","6,999","7,990",12% off,4.2,Gionee
Lava Captain K1 Plus,939,NaN,Nan,3.8,Lava
"Honor 10 Lite (Midnight Black, 32 GB)","8,499","13,999",39% off,4.4,Honor
"Honor 10 Lite (Sapphire Blue, 64 GB)","11,599","16,999",31% off,4.4,Honor
"Honor 10 Lite (Sapphire Blue, 64 GB)","12,199","18,999",35% off,4.4,Honor
"Karbonn Aura Power 4G+ (Champagne, 16 GB)","3,599","6,590",45% off,3.4,Karbonn
"Gionee F9 (Champagne, 32 GB)","5,499","7,900",30% off,4.1,Gionee
"Samsung Galaxy M30 (Blue, 32 GB)","10,399","11,000",5% off,4.4,Samsung
Gfive U220+,555,599,7% off,3.5,Gfive
"Nubia Redmagic 3S (Mecha Silver, 128 GB)","35,999","39,999",10% off,4.3,Nubia
Karbonn K19 Rock,899,NaN,Nan,3.8,Karbonn
I Kall K51,649,NaN,Nan,3.3,I
"Micromax Vdeo 3 (Champagne, 8 GB)","5,749",NaN,Nan,4,Micromax
"Apple iPhone 7 (Rose Gold, 32 GB)","29,499","29,900",1% off,4.5,Apple
"Honor 7S (Black, 16 GB)","6,499","8,999",27% off,4.1,Honor
"Infinix Hot 7 (Mocha Brown, 64 GB)","9,999",NaN,Nan,4.2,Infinix
Jivi Banana 6,999,"1,399",28% off,3.9,Jivi
Detel D1 Champ,590,NaN,Nan,3.7,Detel
"Nokia 2.2 (Black, 16 GB)","5,499","9,099",39% off,4,Nokia
"Apple iPhone 6s (Silver, 32 GB)","25,299","29,900",15% off,4.5,Apple
"Micromax Vdeo 3 (Grey, 8 GB)","5,749",NaN,Nan,4,Micromax
"Realme X (Polar White, 128 GB)","20,999",NaN,Nan,4.5,Realme
"Redmi Note 9 Pro (Interstellar Black, 64 GB)","16,990",NaN,Nan,4.4,Redmi
"Redmi K20 Pro (Pearl White, 256 GB)","29,999","31,999",6% off,4.5,Redmi
Lava Spark i8,"1,399","1,999",30% off,4.1,Lava
I Kall K 60,"1,999","2,999",33% off,4,I
Karbonn K-Stylo,"1,087","1,645",33% off,3.9,Karbonn
Blackbear B5 Nex,799,999,20% off,4,Blackbear
"Apple iPhone XR ((PRODUCT)RED, 128 GB)","57,800",NaN,Nan,4.6,Apple
Snexian Rock,"1,285",NaN,Nan,3.9,Snexian
"Apple iPhone 7 Plus (Silver, 32 GB)","36,999","37,900",2% off,4.5,Apple
"OPPO Reno3 Pro (Sky White, 128 GB)","31,990","32,990",3% off,4.5,OPPO
"OPPO Reno3 Pro (Auroral Blue, 128 GB)","31,990","32,990",3% off,4.5,OPPO
Samsung Guru Music 2,"1,899","1,950",2% off,4.3,Samsung
"Realme 3 (Radiant Blue, 64 GB)","10,499","12,999",19% off,4.4,Realme
Gfive Leo,675,NaN,Nan,3.6,Gfive
"Realme X2 Pro (Red Brick, 256 GB)","36,999",NaN,Nan,4.6,Realme
"Samsung Galaxy A30s (Prism Crush Black, 64 GB)","15,899","18,900",15% off,4.3,Samsung
BlackZone Eluga,599,NaN,Nan,3.2,BlackZone
Kechaoda K9,"1,075",NaN,Nan,4,Kechaoda
"Ismart Extreme (Sea Blue, 32 GB)","4,890","4,990",2% off,3.2,Ismart
Detel D1 Champ,590,NaN,Nan,3.7,Detel
I Kall K44 new mobile,659,NaN,Nan,3.7,I
Micromax X749,"1,170",NaN,Nan,4.2,Micromax
"iQOO 3 (5G) (Tornado Black, 256 GB)","44,990","46,990",4% off,4.4,iQOO
Karbonn KX23,"1,245","1,490",16% off,3.9,Karbonn
"Gionee M7 Power (Gold, 64 GB)","9,849",NaN,Nan,4.2,Gionee
"Nokia 6.1 (Iron, White, 32 GB)","8,999","17,979",49% off,4.2,Nokia
"OPPO A9 2020 (Marine Green, 128 GB)","18,490","21,990",15% off,4.3,OPPO
"OPPO A9 2020 (Space Purple, 128 GB)","18,490","21,990",15% off,4.3,OPPO
Fox Sultan,"1,110",NaN,Nan,3.9,Fox
"Realme 2 Pro (Blue Ocean, 64 GB)","11,490","13,990",17% off,4.5,Realme
"Realme 2 Pro (Ice Lake, 64 GB)","13,990","15,990",12% off,4.5,Realme
"Realme 2 Pro (Blue Ocean, 64 GB)","11,490","15,990",28% off,4.5,Realme
"Micromax Evok Note (Champagne, 32 GB)","5,099","9,499",46% off,3.6,Micromax
InFocus Hero Power B1,"1,149",NaN,Nan,4,InFocus
Karbonn K334,832,834,Nan,NaN,Karbonn
Fox Champ FX240,908,NaN,Nan,3.6,Fox
BlackZone Genius,599,NaN,Nan,3.4,BlackZone
Karbonn K17 Rock,739,NaN,Nan,3.9,Karbonn
Megus Eco,599,NaN,Nan,3.1,Megus
Kechaoda K112,"1,235",NaN,Nan,3.9,Kechaoda
"OPPO A83 (2018 Edition) (Champagne, 64 GB)","7,490","16,990",55% off,4.3,OPPO
"Lava A68 (Gold, 8 GB)","2,999",NaN,Nan,3.5,Lava
Fox Sultan,"1,110",NaN,Nan,3.9,Fox
Fox Sultan,"1,110",NaN,Nan,3.9,Fox
Fox Sultan,"1,110",NaN,Nan,3.9,Fox
Detel D1 Champ,590,NaN,Nan,3.7,Detel
Kechaoda K66 Plus,949,NaN,Nan,4.1,Kechaoda
"Moto M (Silver, 64 GB)","16,999",NaN,Nan,3.9,Moto
"Moto M (Gold, 32 GB)","14,999",NaN,Nan,3.9,Moto
"Moto M (Grey, 32 GB)","14,999",NaN,Nan,3.9,Moto
"Apple iPhone XR (Black, 64 GB)","52,500",NaN,Nan,4.6,Apple
Fox Sultan,"1,110",NaN,Nan,3.9,Fox
I Kall K24,659,NaN,Nan,3.3,I
"Samsung Galaxy A71 (Prism Crush Black, 128 GB)","32,999","34,999",5% off,4.5,Samsung
"Apple iPhone 8 (Space Grey, 64 GB)","38,999","39,900",2% off,4.5,Apple
Zen M72 Max,"1,289",NaN,Nan,3.9,Zen
Karbonn KX2,725,"1,090",33% off,3.8,Karbonn
I Kall K 64,649,NaN,Nan,3.6,I
Fox BigDaddy,"1,262",NaN,Nan,3.7,Fox
Fox BigDaddy,"1,262",NaN,Nan,3.7,Fox
Fox BigDaddy,"1,262",NaN,Nan,3.7,Fox
Gfive U707 combo of Two,999,"1,099",9% off,3.8,Gfive
Gfive U707 combo of Two,999,"1,099",9% off,3.8,Gfive
Fox Bolt FX241,959,NaN,Nan,3.7,Fox
"Micromax Canvas Infinity (Black, 32 GB)","5,299","9,999",47% off,4.1,Micromax
I Kall K25 Combo of Two Mobiles,"1,199","1,499",20% off,3.5,I
"Vivo V9 (Pearl Black (Golden Line), 64 GB)","23,990",NaN,Nan,4.5,Vivo
Muphone M5800,"1,029","1,999",48% off,3.6,Muphone
"Mi Mix 2 (Black, 128 GB)","29,999","37,999",21% off,4.3,Mi
Detel D1 Champ,590,NaN,Nan,3.7,Detel
"Lava Z41 (Midnight Blue, 16 GB)","4,199","4,799",12% off,4,Lava
I Kall K 38 Plus,"1,299","1,999",35% off,4,I
Fox Champ FX240,908,NaN,Nan,3.6,Fox
Fox Champ FX240,908,NaN,Nan,3.6,Fox
Itel It 5605n,"1,085",NaN,Nan,4.1,Itel
BlackZone Hammar,619,NaN,Nan,3.6,BlackZone
Blackzone Hammar,579,NaN,Nan,3.6,Blackzone
Ssky Stone,849,NaN,Nan,NaN,Ssky
Winstar L6,899,NaN,Nan,3.9,Winstar
"Winstar L6 (Blue, 32 MB)",999,NaN,Nan,3.9,Winstar
Intex Ultra,"1,320",NaN,Nan,3.2,Intex
"InFocus A2 (Champagne Gold, 8 GB)","3,599","5,499",34% off,3.8,InFocus
Salora Coral,899,"1,649",45% off,3.6,Salora
"OPPO F9 Pro (Twilight Blue, 64 GB)","18,990","25,990",26% off,4.5,OPPO
I Kall K40 New,"1,199","1,299",7% off,3.6,I
"Leagoo S8 (Dezzal blue, 32 GB)","5,799","6,299",7% off,3.5,Leagoo
"Realme 2 Pro (Blue Ocean, 128 GB)","15,490","17,990",13% off,4.5,Realme
1+1=2 D1,649,NaN,Nan,3.4,1+1=2
"Samsung GALAXY A50 (White, 64 GB)","24,000",NaN,Nan,4.4,Samsung
"Redmi K20 (Flame Red, 128 GB)","24,999",NaN,Nan,4.5,Redmi
I Kall K-130,659,NaN,Nan,3.6,I
InFocus F229,"1,180",NaN,Nan,4,InFocus
"Nokia 3.2 (Black, 32 GB)","9,499","13,099",27% off,4.1,Nokia
Gfive WP86,"1,079",NaN,Nan,3.1,Gfive
Gfive WP86,"1,079",NaN,Nan,3.1,Gfive
Detel D1 Champ,590,NaN,Nan,3.7,Detel
Gfive WP86,"1,079",NaN,Nan,3.1,Gfive
Kechaoda A 31,949,NaN,Nan,3.8,Kechaoda
"OPPO F11 (Marble Green, 128 GB)","17,990","23,990",25% off,4.4,OPPO
Easyfone Amico,"2,599","3,100",16% off,3.5,Easyfone
I Kall K31,549,599,8% off,3.4,I
JIVI X30,749,NaN,Nan,3.9,JIVI
I Kall K3312,799,NaN,Nan,3.5,I
Intex Mega 2400,"1,325",NaN,Nan,3.8,Intex
Zen M72 Slim,"1,232",NaN,Nan,4,Zen
"Nokia 3.2 (Black, 32 GB)","8,979","12,399",27% off,4.1,Nokia
Winstar W11,999,NaN,Nan,3.6,Winstar
Winstar W11,999,NaN,Nan,3.6,Winstar
I Kall K 50 Combo of 2,"1,499","2,598",42% off,3.9,I
"Realme 2 Pro (Black Sea, 64 GB)","11,490","13,990",17% off,4.5,Realme
Zen Z15,"1,225",NaN,Nan,3.8,Zen
Zen Z15,"1,249",NaN,Nan,3.8,Zen
Zen X50,"1,096",NaN,Nan,3.8,Zen
Reach Cogent Mini,899,NaN,Nan,3.7,Reach
GreenBerry W1,"1,299",NaN,Nan,3.6,GreenBerry
Detel D1 Champ,590,NaN,Nan,3.7,Detel
Jivi X93 Grand,949,NaN,Nan,3.9,Jivi
Zen Power 102,929,"1,019",8% off,4,Zen
Zen Power 102,979,NaN,Nan,4,Zen
"Apple iPhone XR (Coral, 64 GB)","52,500",NaN,Nan,4.6,Apple
Kara K16,699,NaN,Nan,3.7,Kara
Muphone M350,890,"1,999",55% off,NaN,Muphone
Muphone M350,890,"1,999",55% off,NaN,Muphone
Muphone M350,949,"1,999",52% off,NaN,Muphone
Muphone M350,849,"1,999",57% off,NaN,Muphone
Gfive Plus,699,NaN,Nan,3.8,Gfive
"Micromax Bharat 4 Diwali Edition (Matte Black, 8 GB)","4,999",NaN,Nan,3.9,Micromax
Zen X28,919,NaN,Nan,3.4,Zen
Zen X28,919,NaN,Nan,3.8,Zen
Zen X28,919,NaN,Nan,3.4,Zen
Q-Tel Q7,499,NaN,Nan,3.4,Q-Tel
Q-Tel Q7,559,NaN,Nan,3.4,Q-Tel
"Vivo V7+ (Matte Black, 64 GB)","22,221",NaN,Nan,4.4,Vivo
"Vivo Y71 (Matte Black, 16 GB)","11,990",NaN,Nan,4.3,Vivo
Blackbear B5 Neo,610,899,32% off,3.2,Blackbear
Blackbear B5 Neo,610,899,32% off,3.2,Blackbear
Kechaoda K10,799,NaN,Nan,4,Kechaoda
"Motorola One Macro (Ultra Violet, 64 GB)","9,999","11,999",16% off,4.2,Motorola
Reach Power 230,770,NaN,Nan,3.4,Reach
Detel D1 Champ,590,NaN,Nan,3.7,Detel
Tambo A1806,890,999,10% off,NaN,Tambo
"Itel A44 Pro (Blue, 16 GB)","5,090",NaN,Nan,4.3,Itel
"Samsung Galaxy On Max (Gold, 32 GB)","19,900",NaN,Nan,4.3,Samsung
"Samsung Galaxy M30s (Black, 64 GB)","15,499","15,500",Nan,4.3,Samsung
"Coolpad Mega 5C (Sky Blue, 16 GB)","3,200","5,499",41% off,3.7,Coolpad
BlackZone B310,599,NaN,Nan,NaN,BlackZone
Gfive U707,625,899,30% off,3.7,Gfive
"Micromax Bharat 4 (Black, 8 GB)","3,590",NaN,Nan,3.8,Micromax
"Vivo V11 Pro (Starry Night Black, 64 GB)","15,799","28,990",45% off,4.5,Vivo
"Asus ZenFone Max M2 (Black, 64 GB)","8,999","14,999",40% off,4.3,Asus
"Redmi Note 3 (Gold, 32 GB)","11,999",NaN,Nan,4.3,Redmi
GLX W22,639,NaN,Nan,3.6,GLX
GLX W22,639,NaN,Nan,3.6,GLX
GLX W22,639,NaN,Nan,3.6,GLX
Samsung Guru GT,"1,339","1,465",8% off,4.1,Samsung
"Itel Vision1 (Gradation Purple, 32 GB)","6,299",NaN,Nan,4.1,Itel
Tork T13 Banana,837,"1,799",53% off,4,Tork
Mymax M36,599,NaN,Nan,3.3,Mymax
"Vivo V15 Pro (Ruby Red, 128 GB)","21,099","32,990",36% off,4.5,Vivo
"Honor 10 Lite (Midnight Black, 64 GB)","11,599","16,999",31% off,4.4,Honor
"Honor 10 Lite (Sapphire Blue, 32 GB)","8,499","13,999",39% off,4.4,Honor
Karbonn KX26,999,NaN,Nan,3.8,Karbonn
"Samsung Galaxy M30s (Black, 64 GB)","15,499","15,500",Nan,4.3,Samsung
"Coolpad Mega 5A (Gold, 16 GB)","6,790",NaN,Nan,3.8,Coolpad
I Kall K30,799,NaN,Nan,3.7,I
Detel D1 Champ,590,NaN,Nan,3.7,Detel
Forme Duos N2,799,899,11% off,4.1,Forme
Salora Vishaal,"1,099",NaN,Nan,4.3,Salora
Salora Volt 2,659,"1,099",40% off,3.9,Salora
"Lava A52 (Black, 4 GB)","2,099",NaN,Nan,3.8,Lava
"Lava Iris Atom (Black, 8 GB)","2,699",NaN,Nan,3.3,Lava
Karbonn K490+,985,NaN,Nan,3.6,Karbonn
Micromax X746,"1,399",NaN,Nan,4,Micromax
"YUHO Y2 Pro (Ruby Red-Black, 16 GB)","4,699","8,999",47% off,NaN,YUHO
Inovu A1s Combo of Two Mobiles,"1,156","2,178",46% off,3.3,Inovu
Inovu A1s Combo of Two Mobiles,"1,156","2,178",46% off,3.3,Inovu
Inovu A1s Combo of Two Mobiles,"1,156","2,178",46% off,3.3,Inovu
Muphone M3000,849,899,5% off,3.6,Muphone
Muphone M3000,849,899,5% off,3.6,Muphone
Muphone M3000,849,"1,999",57% off,3.6,Muphone
Reach Champ + Selfie Black Yellow,699,NaN,Nan,NaN,Reach
Karbonn KX26,999,NaN,Nan,3.8,Karbonn
Gfive U873,599,NaN,Nan,3.7,Gfive
Zen Zen M72 Max,"1,270",NaN,Nan,3.8,Zen
Karbonn K324N,"1,045",NaN,Nan,3.8,Karbonn
Rocktel R5,599,NaN,Nan,3.6,Rocktel
